{'loss': 0.467, 'learning_rate': 1.9970150910066165e-05, 'epoch': 0.05}
{'loss': 0.5623, 'learning_rate': 1.9970112302225015e-05, 'epoch': 0.05}
{'loss': 0.9439, 'learning_rate': 1.9970073669469014e-05, 'epoch': 0.05}
{'loss': 1.2189, 'learning_rate': 1.9970035011798257e-05, 'epoch': 0.05}
{'loss': 0.8833, 'learning_rate': 1.996999632921284e-05, 'epoch': 0.05}
{'loss': 0.7032, 'learning_rate': 1.9969957621712855e-05, 'epoch': 0.05}
{'loss': 0.8196, 'learning_rate': 1.9969918889298407e-05, 'epoch': 0.05}
{'loss': 0.5028, 'learning_rate': 1.996988013196959e-05, 'epoch': 0.05}
{'loss': 0.9431, 'learning_rate': 1.9969841349726496e-05, 'epoch': 0.05}
{'loss': 1.2059, 'learning_rate': 1.996980254256923e-05, 'epoch': 0.05}
{'loss': 0.9451, 'learning_rate': 1.996976371049788e-05, 'epoch': 0.05}
{'loss': 1.1811, 'learning_rate': 1.9969724853512555e-05, 'epoch': 0.05}
{'loss': 0.7024, 'learning_rate': 1.996968597161334e-05, 'epoch': 0.05}
{'loss': 0.9571, 'learning_rate': 1.9969647064800336e-05, 'epoch': 0.05}
{'loss': 1.1996, 'learning_rate': 1.9969608133073644e-05, 'epoch': 0.05}
{'loss': 1.1827, 'learning_rate': 1.9969569176433356e-05, 'epoch': 0.05}
{'loss': 0.5175, 'learning_rate': 1.9969530194879572e-05, 'epoch': 0.05}
{'loss': 1.2741, 'learning_rate': 1.996949118841239e-05, 'epoch': 0.05}
{'loss': 0.313, 'learning_rate': 1.996945215703191e-05, 'epoch': 0.05}
{'loss': 0.8776, 'learning_rate': 1.9969413100738223e-05, 'epoch': 0.05}
{'loss': 0.6254, 'learning_rate': 1.9969374019531432e-05, 'epoch': 0.05}
{'loss': 1.0284, 'learning_rate': 1.996933491341163e-05, 'epoch': 0.05}
{'loss': 0.6628, 'learning_rate': 1.996929578237892e-05, 'epoch': 0.05}
{'loss': 0.9805, 'learning_rate': 1.9969256626433396e-05, 'epoch': 0.05}
{'loss': 0.5889, 'learning_rate': 1.9969217445575158e-05, 'epoch': 0.05}
{'loss': 1.025, 'learning_rate': 1.9969178239804302e-05, 'epoch': 0.05}
{'loss': 1.0487, 'learning_rate': 1.9969139009120927e-05, 'epoch': 0.05}
{'loss': 0.6327, 'learning_rate': 1.9969099753525134e-05, 'epoch': 0.05}
{'loss': 1.1593, 'learning_rate': 1.996906047301701e-05, 'epoch': 0.05}
{'loss': 0.7744, 'learning_rate': 1.996902116759667e-05, 'epoch': 0.05}
{'loss': 1.5544, 'learning_rate': 1.9968981837264197e-05, 'epoch': 0.05}
{'loss': 0.9116, 'learning_rate': 1.99689424820197e-05, 'epoch': 0.05}
{'loss': 1.4357, 'learning_rate': 1.996890310186327e-05, 'epoch': 0.05}
{'loss': 0.289, 'learning_rate': 1.9968863696795008e-05, 'epoch': 0.05}
{'loss': 0.7919, 'learning_rate': 1.9968824266815016e-05, 'epoch': 0.05}
{'loss': 0.7852, 'learning_rate': 1.9968784811923388e-05, 'epoch': 0.05}
{'loss': 1.2801, 'learning_rate': 1.9968745332120223e-05, 'epoch': 0.05}
{'loss': 1.1612, 'learning_rate': 1.996870582740562e-05, 'epoch': 0.05}
{'loss': 0.9434, 'learning_rate': 1.9968666297779682e-05, 'epoch': 0.05}
{'loss': 1.2498, 'learning_rate': 1.9968626743242502e-05, 'epoch': 0.05}
{'loss': 0.6432, 'learning_rate': 1.996858716379418e-05, 'epoch': 0.05}
{'loss': 1.2571, 'learning_rate': 1.9968547559434818e-05, 'epoch': 0.05}
{'loss': 1.3835, 'learning_rate': 1.9968507930164514e-05, 'epoch': 0.05}
{'loss': 0.7652, 'learning_rate': 1.9968468275983364e-05, 'epoch': 0.05}
{'loss': 1.327, 'learning_rate': 1.996842859689147e-05, 'epoch': 0.05}
{'loss': 0.6005, 'learning_rate': 1.9968388892888926e-05, 'epoch': 0.05}
{'loss': 1.1718, 'learning_rate': 1.996834916397584e-05, 'epoch': 0.05}
{'loss': 0.6793, 'learning_rate': 1.9968309410152307e-05, 'epoch': 0.05}
{'loss': 0.8929, 'learning_rate': 1.9968269631418425e-05, 'epoch': 0.05}
